start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
68	71	PARENT_OF			
68	72	PARENT_OF			
69	70	PARENT_OF			
72	73	PARENT_OF			
73	74	ENTRY			
73	75	EXIT			
73	76	PARENT_OF			
73	77	PARENT_OF			
73	78	PARENT_OF			
73	87	PARENT_OF			
73	88	PARENT_OF			
73	102	PARENT_OF			
73	103	PARENT_OF			
78	79	PARENT_OF			
78	83	PARENT_OF			
79	80	PARENT_OF			
79	81	PARENT_OF			
79	82	PARENT_OF			
83	84	PARENT_OF			
83	85	PARENT_OF			
83	86	PARENT_OF			
88	89	PARENT_OF			
89	90	PARENT_OF			
90	91	PARENT_OF			
90	93	PARENT_OF			
91	92	PARENT_OF			
93	94	PARENT_OF			
94	95	PARENT_OF			
94	97	PARENT_OF			
95	96	PARENT_OF			
97	98	PARENT_OF			
97	100	PARENT_OF			
98	99	PARENT_OF			
100	101	PARENT_OF			
104	105	PARENT_OF			
105	106	PARENT_OF			
109	110	PARENT_OF			
109	114	PARENT_OF			
109	1899	LOOKUP			
109	690	LOOKUP			
109	409	FLOWS_TO			
110	111	PARENT_OF			
110	113	PARENT_OF			
111	112	PARENT_OF			
114	115	ENTRY			
114	116	EXIT			
114	117	PARENT_OF			
114	118	PARENT_OF			
114	119	PARENT_OF			
114	140	PARENT_OF			
114	141	PARENT_OF			
114	407	PARENT_OF			
114	408	PARENT_OF			
119	120	PARENT_OF			
119	124	PARENT_OF			
119	128	PARENT_OF			
119	132	PARENT_OF			
119	136	PARENT_OF			
120	121	PARENT_OF			
120	122	PARENT_OF			
120	123	PARENT_OF			
124	125	PARENT_OF			
124	126	PARENT_OF			
124	127	PARENT_OF			
128	129	PARENT_OF			
128	130	PARENT_OF			
128	131	PARENT_OF			
132	133	PARENT_OF			
132	134	PARENT_OF			
132	135	PARENT_OF			
136	137	PARENT_OF			
136	138	PARENT_OF			
136	139	PARENT_OF			
141	142	PARENT_OF			
141	149	PARENT_OF			
141	156	PARENT_OF			
141	164	PARENT_OF			
141	171	PARENT_OF			
141	174	PARENT_OF			
141	392	PARENT_OF			
142	143	PARENT_OF			
142	145	PARENT_OF			
143	144	PARENT_OF			
145	146	PARENT_OF			
145	148	PARENT_OF			
146	147	PARENT_OF			
149	150	PARENT_OF			
149	152	PARENT_OF			
150	151	PARENT_OF			
152	153	PARENT_OF			
152	155	PARENT_OF			
153	154	PARENT_OF			
156	157	PARENT_OF			
156	162	PARENT_OF			
157	158	PARENT_OF			
157	160	PARENT_OF			
158	159	PARENT_OF			
160	161	PARENT_OF			
162	163	PARENT_OF			
164	165	PARENT_OF			
164	167	PARENT_OF			
165	166	PARENT_OF			
167	168	PARENT_OF			
167	170	PARENT_OF			
168	169	PARENT_OF			
171	172	PARENT_OF			
172	173	PARENT_OF			
174	175	PARENT_OF			
174	177	PARENT_OF			
174	178	PARENT_OF			
174	180	PARENT_OF			
175	176	PARENT_OF			
178	179	PARENT_OF			
180	181	PARENT_OF			
181	182	PARENT_OF			
182	183	PARENT_OF			
182	190	PARENT_OF			
183	184	PARENT_OF			
183	186	PARENT_OF			
183	187	PARENT_OF			
184	185	PARENT_OF			
187	188	PARENT_OF			
188	189	PARENT_OF			
190	191	PARENT_OF			
191	192	PARENT_OF			
191	311	PARENT_OF			
192	193	PARENT_OF			
192	214	PARENT_OF			
193	194	PARENT_OF			
193	205	PARENT_OF			
194	195	PARENT_OF			
194	204	PARENT_OF			
195	196	PARENT_OF			
195	198	PARENT_OF			
196	197	PARENT_OF			
198	199	PARENT_OF			
199	200	PARENT_OF			
199	202	PARENT_OF			
200	201	PARENT_OF			
202	203	PARENT_OF			
205	206	PARENT_OF			
205	211	PARENT_OF			
206	207	PARENT_OF			
206	209	PARENT_OF			
207	208	PARENT_OF			
209	210	PARENT_OF			
211	212	PARENT_OF			
212	213	PARENT_OF			
214	215	PARENT_OF			
214	218	PARENT_OF			
214	224	PARENT_OF			
214	272	PARENT_OF			
215	216	PARENT_OF			
216	217	PARENT_OF			
218	219	PARENT_OF			
218	221	PARENT_OF			
219	220	PARENT_OF			
221	222	PARENT_OF			
222	223	PARENT_OF			
224	225	PARENT_OF			
224	227	PARENT_OF			
224	228	PARENT_OF			
224	230	PARENT_OF			
225	226	PARENT_OF			
228	229	PARENT_OF			
230	231	PARENT_OF			
231	232	PARENT_OF			
232	233	PARENT_OF			
232	240	PARENT_OF			
233	234	PARENT_OF			
233	236	PARENT_OF			
233	237	PARENT_OF			
234	235	PARENT_OF			
237	238	PARENT_OF			
238	239	PARENT_OF			
240	241	PARENT_OF			
241	242	PARENT_OF			
242	243	PARENT_OF			
242	254	PARENT_OF			
243	244	PARENT_OF			
243	249	PARENT_OF			
244	245	PARENT_OF			
244	247	PARENT_OF			
245	246	PARENT_OF			
247	248	PARENT_OF			
249	250	PARENT_OF			
249	252	PARENT_OF			
250	251	PARENT_OF			
252	253	PARENT_OF			
254	255	PARENT_OF			
254	266	PARENT_OF			
255	256	PARENT_OF			
255	261	PARENT_OF			
256	257	PARENT_OF			
256	259	PARENT_OF			
257	258	PARENT_OF			
259	260	PARENT_OF			
261	262	PARENT_OF			
261	264	PARENT_OF			
262	263	PARENT_OF			
264	265	PARENT_OF			
266	267	PARENT_OF			
266	269	PARENT_OF			
267	268	PARENT_OF			
269	270	PARENT_OF			
270	271	PARENT_OF			
272	273	PARENT_OF			
273	274	PARENT_OF			
273	277	PARENT_OF			
274	275	PARENT_OF			
275	276	PARENT_OF			
277	278	PARENT_OF			
278	279	PARENT_OF			
278	284	PARENT_OF			
279	280	PARENT_OF			
279	282	PARENT_OF			
280	281	PARENT_OF			
282	283	PARENT_OF			
284	285	PARENT_OF			
284	287	PARENT_OF			
284	288	PARENT_OF			
285	286	PARENT_OF			
288	289	PARENT_OF			
288	294	PARENT_OF			
288	296	PARENT_OF			
288	301	PARENT_OF			
288	303	PARENT_OF			
289	290	PARENT_OF			
289	292	PARENT_OF			
290	291	PARENT_OF			
292	293	PARENT_OF			
294	295	PARENT_OF			
296	297	PARENT_OF			
296	299	PARENT_OF			
297	298	PARENT_OF			
299	300	PARENT_OF			
301	302	PARENT_OF			
303	304	PARENT_OF			
303	309	PARENT_OF			
304	305	PARENT_OF			
304	307	PARENT_OF			
305	306	PARENT_OF			
307	308	PARENT_OF			
309	310	PARENT_OF			
311	312	PARENT_OF			
311	313	PARENT_OF			
313	314	PARENT_OF			
314	315	PARENT_OF			
314	378	PARENT_OF			
315	316	PARENT_OF			
315	327	PARENT_OF			
316	317	PARENT_OF			
316	326	PARENT_OF			
317	318	PARENT_OF			
317	320	PARENT_OF			
318	319	PARENT_OF			
320	321	PARENT_OF			
321	322	PARENT_OF			
321	324	PARENT_OF			
322	323	PARENT_OF			
324	325	PARENT_OF			
327	328	PARENT_OF			
327	339	PARENT_OF			
327	367	PARENT_OF			
328	329	PARENT_OF			
328	331	PARENT_OF			
329	330	PARENT_OF			
331	332	PARENT_OF			
331	337	PARENT_OF			
331	338	PARENT_OF			
332	333	PARENT_OF			
332	335	PARENT_OF			
333	334	PARENT_OF			
335	336	PARENT_OF			
339	340	PARENT_OF			
340	341	PARENT_OF			
340	348	PARENT_OF			
341	342	PARENT_OF			
341	344	PARENT_OF			
341	345	PARENT_OF			
342	343	PARENT_OF			
345	346	PARENT_OF			
346	347	PARENT_OF			
348	349	PARENT_OF			
349	350	PARENT_OF			
349	358	PARENT_OF			
350	351	PARENT_OF			
350	353	PARENT_OF			
351	352	PARENT_OF			
353	354	PARENT_OF			
354	355	PARENT_OF			
354	357	PARENT_OF			
355	356	PARENT_OF			
358	359	PARENT_OF			
358	360	PARENT_OF			
360	361	PARENT_OF			
361	362	PARENT_OF			
362	363	PARENT_OF			
362	365	PARENT_OF			
363	364	PARENT_OF			
365	366	PARENT_OF			
367	368	PARENT_OF			
367	373	PARENT_OF			
368	369	PARENT_OF			
368	371	PARENT_OF			
369	370	PARENT_OF			
371	372	PARENT_OF			
373	374	PARENT_OF			
373	376	PARENT_OF			
374	375	PARENT_OF			
376	377	PARENT_OF			
378	379	PARENT_OF			
378	380	PARENT_OF			
380	381	PARENT_OF			
381	382	PARENT_OF			
381	387	PARENT_OF			
382	383	PARENT_OF			
382	385	PARENT_OF			
383	384	PARENT_OF			
385	386	PARENT_OF			
387	388	PARENT_OF			
387	390	PARENT_OF			
388	389	PARENT_OF			
390	391	PARENT_OF			
392	393	PARENT_OF			
393	394	PARENT_OF			
393	398	PARENT_OF			
393	405	PARENT_OF			
394	395	PARENT_OF			
394	397	PARENT_OF			
395	396	PARENT_OF			
398	399	PARENT_OF			
398	401	PARENT_OF			
398	402	PARENT_OF			
399	400	PARENT_OF			
402	403	PARENT_OF			
403	404	PARENT_OF			
405	406	PARENT_OF			
409	410	PARENT_OF			
409	414	PARENT_OF			
409	1899	LOOKUP			
409	1899	LOOKUP			
409	690	LOOKUP			
409	1895	LOOKUP			
410	411	PARENT_OF			
410	413	PARENT_OF			
411	412	PARENT_OF			
414	415	ENTRY			
414	416	EXIT			
414	417	PARENT_OF			
414	418	PARENT_OF			
414	419	PARENT_OF			
414	428	PARENT_OF			
414	429	PARENT_OF			
414	684	PARENT_OF			
414	685	PARENT_OF			
419	420	PARENT_OF			
419	424	PARENT_OF			
420	421	PARENT_OF			
420	422	PARENT_OF			
420	423	PARENT_OF			
424	425	PARENT_OF			
424	426	PARENT_OF			
424	427	PARENT_OF			
429	430	PARENT_OF			
429	433	PARENT_OF			
429	460	PARENT_OF			
429	468	PARENT_OF			
429	472	PARENT_OF			
429	475	PARENT_OF			
429	632	PARENT_OF			
429	681	PARENT_OF			
430	431	PARENT_OF			
431	432	PARENT_OF			
433	434	PARENT_OF			
434	435	PARENT_OF			
434	443	PARENT_OF			
435	436	PARENT_OF			
435	442	PARENT_OF			
436	437	PARENT_OF			
436	439	PARENT_OF			
437	438	PARENT_OF			
439	440	PARENT_OF			
440	441	PARENT_OF			
443	444	PARENT_OF			
443	454	PARENT_OF			
444	445	PARENT_OF			
444	447	PARENT_OF			
445	446	PARENT_OF			
447	448	PARENT_OF			
447	450	PARENT_OF			
447	451	PARENT_OF			
448	449	PARENT_OF			
451	452	PARENT_OF			
452	453	PARENT_OF			
454	455	PARENT_OF			
454	457	PARENT_OF			
455	456	PARENT_OF			
457	458	PARENT_OF			
458	459	PARENT_OF			
460	461	PARENT_OF			
460	463	PARENT_OF			
461	462	PARENT_OF			
463	464	PARENT_OF			
463	466	PARENT_OF			
464	465	PARENT_OF			
466	467	PARENT_OF			
468	469	PARENT_OF			
468	471	PARENT_OF			
469	470	PARENT_OF			
472	473	PARENT_OF			
473	474	PARENT_OF			
475	476	PARENT_OF			
475	478	PARENT_OF			
475	479	PARENT_OF			
475	481	PARENT_OF			
476	477	PARENT_OF			
479	480	PARENT_OF			
481	482	PARENT_OF			
482	483	PARENT_OF			
483	484	PARENT_OF			
483	491	PARENT_OF			
484	485	PARENT_OF			
484	487	PARENT_OF			
484	488	PARENT_OF			
485	486	PARENT_OF			
488	489	PARENT_OF			
489	490	PARENT_OF			
491	492	PARENT_OF			
492	493	PARENT_OF			
492	524	PARENT_OF			
493	494	PARENT_OF			
493	505	PARENT_OF			
494	495	PARENT_OF			
494	504	PARENT_OF			
495	496	PARENT_OF			
495	498	PARENT_OF			
496	497	PARENT_OF			
498	499	PARENT_OF			
499	500	PARENT_OF			
499	502	PARENT_OF			
500	501	PARENT_OF			
502	503	PARENT_OF			
505	506	PARENT_OF			
506	507	PARENT_OF			
506	512	PARENT_OF			
507	508	PARENT_OF			
507	510	PARENT_OF			
508	509	PARENT_OF			
510	511	PARENT_OF			
512	513	PARENT_OF			
512	515	PARENT_OF			
512	516	PARENT_OF			
513	514	PARENT_OF			
516	517	PARENT_OF			
516	522	PARENT_OF			
517	518	PARENT_OF			
517	520	PARENT_OF			
518	519	PARENT_OF			
520	521	PARENT_OF			
522	523	PARENT_OF			
524	525	PARENT_OF			
524	526	PARENT_OF			
526	527	PARENT_OF			
527	528	PARENT_OF			
528	529	PARENT_OF			
528	540	PARENT_OF			
529	530	PARENT_OF			
529	539	PARENT_OF			
530	531	PARENT_OF			
530	533	PARENT_OF			
531	532	PARENT_OF			
533	534	PARENT_OF			
534	535	PARENT_OF			
534	537	PARENT_OF			
535	536	PARENT_OF			
537	538	PARENT_OF			
540	541	PARENT_OF			
541	542	PARENT_OF			
541	582	PARENT_OF			
542	543	PARENT_OF			
542	555	PARENT_OF			
543	544	PARENT_OF			
543	554	PARENT_OF			
544	545	PARENT_OF			
544	550	PARENT_OF			
544	551	PARENT_OF			
545	546	PARENT_OF			
545	548	PARENT_OF			
546	547	PARENT_OF			
548	549	PARENT_OF			
551	552	PARENT_OF			
552	553	PARENT_OF			
555	556	PARENT_OF			
556	557	PARENT_OF			
556	562	PARENT_OF			
557	558	PARENT_OF			
557	560	PARENT_OF			
558	559	PARENT_OF			
560	561	PARENT_OF			
562	563	PARENT_OF			
562	565	PARENT_OF			
563	564	PARENT_OF			
565	566	PARENT_OF			
566	567	PARENT_OF			
566	581	PARENT_OF			
567	568	PARENT_OF			
567	569	PARENT_OF			
569	570	PARENT_OF			
569	575	PARENT_OF			
569	576	PARENT_OF			
570	571	PARENT_OF			
570	573	PARENT_OF			
571	572	PARENT_OF			
573	574	PARENT_OF			
576	577	PARENT_OF			
577	578	PARENT_OF			
577	580	PARENT_OF			
578	579	PARENT_OF			
582	583	PARENT_OF			
582	584	PARENT_OF			
584	585	PARENT_OF			
585	586	PARENT_OF			
586	587	PARENT_OF			
586	599	PARENT_OF			
587	588	PARENT_OF			
587	598	PARENT_OF			
588	589	PARENT_OF			
588	594	PARENT_OF			
588	595	PARENT_OF			
589	590	PARENT_OF			
589	592	PARENT_OF			
590	591	PARENT_OF			
592	593	PARENT_OF			
595	596	PARENT_OF			
596	597	PARENT_OF			
599	600	PARENT_OF			
599	618	PARENT_OF			
600	601	PARENT_OF			
600	606	PARENT_OF			
601	602	PARENT_OF			
601	604	PARENT_OF			
602	603	PARENT_OF			
604	605	PARENT_OF			
606	607	PARENT_OF			
606	612	PARENT_OF			
606	613	PARENT_OF			
607	608	PARENT_OF			
607	610	PARENT_OF			
608	609	PARENT_OF			
610	611	PARENT_OF			
613	614	PARENT_OF			
614	615	PARENT_OF			
614	617	PARENT_OF			
615	616	PARENT_OF			
618	619	PARENT_OF			
618	621	PARENT_OF			
618	622	PARENT_OF			
619	620	PARENT_OF			
622	623	PARENT_OF			
623	624	PARENT_OF			
623	628	PARENT_OF			
624	625	PARENT_OF			
624	627	PARENT_OF			
625	626	PARENT_OF			
628	629	PARENT_OF			
628	631	PARENT_OF			
629	630	PARENT_OF			
632	633	PARENT_OF			
633	634	PARENT_OF			
633	636	PARENT_OF			
634	635	PARENT_OF			
636	637	PARENT_OF			
637	638	PARENT_OF			
637	640	PARENT_OF			
637	641	PARENT_OF			
638	639	PARENT_OF			
641	642	PARENT_OF			
642	643	ENTRY			
642	644	EXIT			
642	645	PARENT_OF			
642	646	PARENT_OF			
642	647	PARENT_OF			
642	652	PARENT_OF			
642	653	PARENT_OF			
642	679	PARENT_OF			
642	680	PARENT_OF			
647	648	PARENT_OF			
648	649	PARENT_OF			
648	650	PARENT_OF			
648	651	PARENT_OF			
653	654	PARENT_OF			
654	655	PARENT_OF			
654	664	PARENT_OF			
655	656	PARENT_OF			
655	660	PARENT_OF			
656	657	PARENT_OF			
656	659	PARENT_OF			
657	658	PARENT_OF			
660	661	PARENT_OF			
660	663	PARENT_OF			
661	662	PARENT_OF			
664	665	PARENT_OF			
664	667	PARENT_OF			
665	666	PARENT_OF			
667	668	PARENT_OF			
667	670	PARENT_OF			
668	669	PARENT_OF			
670	671	PARENT_OF			
670	675	PARENT_OF			
671	672	PARENT_OF			
671	674	PARENT_OF			
672	673	PARENT_OF			
675	676	PARENT_OF			
675	678	PARENT_OF			
676	677	PARENT_OF			
681	682	PARENT_OF			
682	683	PARENT_OF			
686	687	SCOPE_TO_VAR			
686	689	SCOPE_TO_VAR			
686	693	SCOPE_TO_VAR			
686	696	SCOPE_TO_VAR			
686	1837	SCOPE_TO_VAR			
686	1840	SCOPE_TO_VAR			
686	1844	SCOPE_TO_VAR			
686	1853	SCOPE_TO_VAR			
686	1863	PARENT_SCOPE_OF			
686	1883	SCOPE_TO_VAR			
686	1893	PARENT_SCOPE_OF			
687	688	NAME_TO_OBJ			
688	691	OBJ_TO_PROP			
688	694	OBJ_TO_PROP			
688	697	OBJ_TO_PROP			
688	1838	OBJ_TO_PROP			
688	1841	OBJ_TO_PROP			
688	1845	OBJ_TO_PROP			
688	1854	OBJ_TO_PROP			
688	1884	OBJ_TO_PROP			
689	690	NAME_TO_OBJ			
691	690	NAME_TO_OBJ			
693	692	NAME_TO_OBJ			
694	692	NAME_TO_OBJ			
696	695	NAME_TO_OBJ			
697	695	NAME_TO_OBJ			
1837	1836	NAME_TO_OBJ			
1838	1836	NAME_TO_OBJ			
1840	1839	NAME_TO_OBJ			
1841	1839	NAME_TO_OBJ			
1844	1843	NAME_TO_OBJ			
1845	1843	NAME_TO_OBJ			
1846	1	OBJ_TO_AST			
1846	1847	OBJ_TO_PROP			
1846	1851	OBJ_TO_PROP			
1846	1852	OBJ_TO_PROP			
1846	1855	OBJ_TO_PROP			
1846	1861	OBJ_TO_PROP			
1846	1863	OBJ_TO_SCOPE			
1847	1848	NAME_TO_OBJ			
1848	1	OBJ_TO_AST			
1848	1849	OBJ_TO_PROP			
1848	1850	OBJ_TO_PROP			
1853	1846	NAME_TO_OBJ			
1854	1846	NAME_TO_OBJ			
1855	1856	NAME_TO_OBJ			
1856	1	OBJ_TO_AST			
1856	1857	OBJ_TO_PROP			
1856	1858	OBJ_TO_PROP			
1856	1859	OBJ_TO_PROP			
1859	1860	NAME_TO_OBJ			
1861	1862	NAME_TO_OBJ			
1862	1	OBJ_TO_AST			
1863	1	SCOPE_TO_AST			
1863	1864	SCOPE_TO_VAR			
1863	1872	SCOPE_TO_VAR			
1863	1873	SCOPE_TO_VAR			
1863	1874	PARENT_SCOPE_OF			
1863	1875	SCOPE_TO_VAR			
1864	1865	NAME_TO_OBJ			
1865	1	OBJ_TO_AST			
1865	1866	OBJ_TO_PROP			
1865	1867	OBJ_TO_PROP			
1865	1868	OBJ_TO_PROP			
1868	1869	NAME_TO_OBJ			
1869	1	OBJ_TO_AST			
1869	1870	OBJ_TO_PROP			
1869	1871	OBJ_TO_PROP			
1872	1869	NAME_TO_OBJ			
1873	1869	NAME_TO_OBJ			
1874	4	SCOPE_TO_AST			
1875	1899	NAME_TO_OBJ			
1876	14	OBJ_TO_AST			
1876	1877	OBJ_TO_PROP			
1876	1881	OBJ_TO_PROP			
1876	1882	OBJ_TO_PROP			
1876	1885	OBJ_TO_PROP			
1876	1891	OBJ_TO_PROP			
1876	1893	OBJ_TO_SCOPE			
1877	1878	NAME_TO_OBJ			
1878	14	OBJ_TO_AST			
1878	1879	OBJ_TO_PROP			
1878	1880	OBJ_TO_PROP			
1883	1876	NAME_TO_OBJ			
1884	1876	NAME_TO_OBJ			
1885	1886	NAME_TO_OBJ			
1886	14	OBJ_TO_AST			
1886	1887	OBJ_TO_PROP			
1886	1888	OBJ_TO_PROP			
1886	1889	OBJ_TO_PROP			
1889	1890	NAME_TO_OBJ			
1891	1892	NAME_TO_OBJ			
1892	14	OBJ_TO_AST			
1893	14	SCOPE_TO_AST			
1893	1894	SCOPE_TO_VAR			
1893	1902	SCOPE_TO_VAR			
1893	1903	SCOPE_TO_VAR			
1893	1904	PARENT_SCOPE_OF			
1893	1905	SCOPE_TO_VAR			
1893	1906	SCOPE_TO_VAR			
1893	1907	SCOPE_TO_VAR			
1893	1908	SCOPE_TO_VAR			
1893	1909	SCOPE_TO_VAR			
1894	1895	NAME_TO_OBJ			
1895	14	OBJ_TO_AST			
1895	1896	OBJ_TO_PROP			
1895	1897	OBJ_TO_PROP			
1895	1898	OBJ_TO_PROP			
1898	1899	NAME_TO_OBJ			
1899	14	OBJ_TO_AST			
1899	1900	OBJ_TO_PROP			
1899	1901	OBJ_TO_PROP			
1899	1945	OBJ_TO_PROP			
1899	1955	OBJ_TO_PROP			
1902	1899	NAME_TO_OBJ			
1903	1899	NAME_TO_OBJ			
1904	17	SCOPE_TO_AST			
1905	1910	NAME_TO_OBJ			
1906	1915	NAME_TO_OBJ			
1907	1920	NAME_TO_OBJ			
1908	1925	NAME_TO_OBJ			
1909	1927	NAME_TO_OBJ			
1910	18	OBJ_TO_AST			
1910	1911	OBJ_TO_PROP			
1910	1912	OBJ_TO_PROP			
1910	1913	OBJ_TO_PROP			
1913	1914	NAME_TO_OBJ			
1915	22	OBJ_TO_AST			
1915	1916	OBJ_TO_PROP			
1915	1917	OBJ_TO_PROP			
1915	1918	OBJ_TO_PROP			
1918	1919	NAME_TO_OBJ			
1920	26	OBJ_TO_AST			
1920	1921	OBJ_TO_PROP			
1920	1922	OBJ_TO_PROP			
1920	1923	OBJ_TO_PROP			
1923	1924	NAME_TO_OBJ			
1925	33	OBJ_TO_AST			
1925	1926	OBJ_TO_PROP			
1927	37	OBJ_TO_AST			
1927	1928	OBJ_TO_PROP			
1927	1932	OBJ_TO_PROP			
1927	1933	OBJ_TO_PROP			
1927	1934	OBJ_TO_PROP			
1928	1929	NAME_TO_OBJ			
1929	37	OBJ_TO_AST			
1929	1930	OBJ_TO_PROP			
1929	1931	OBJ_TO_PROP			
1934	1935	NAME_TO_OBJ			
1935	37	OBJ_TO_AST			
1936	114	OBJ_TO_AST			
1936	1937	OBJ_TO_PROP			
1936	1941	OBJ_TO_PROP			
1936	1942	OBJ_TO_PROP			
1936	1943	OBJ_TO_PROP			
1937	1938	NAME_TO_OBJ			
1938	114	OBJ_TO_AST			
1938	1939	OBJ_TO_PROP			
1938	1940	OBJ_TO_PROP			
1943	1944	NAME_TO_OBJ			
1944	114	OBJ_TO_AST			
1945	1936	NAME_TO_OBJ			
1946	414	OBJ_TO_AST			
1946	1947	OBJ_TO_PROP			
1946	1951	OBJ_TO_PROP			
1946	1952	OBJ_TO_PROP			
1946	1953	OBJ_TO_PROP			
1947	1948	NAME_TO_OBJ			
1948	414	OBJ_TO_AST			
1948	1949	OBJ_TO_PROP			
1948	1950	OBJ_TO_PROP			
1953	1954	NAME_TO_OBJ			
1954	414	OBJ_TO_AST			
1955	1946	NAME_TO_OBJ			
